COD_CLIENTE	COD_PEDIDO	CODIGO_PRODUTO	DEPTO	QUANTIDADE	VALOR_UNITARIO	QTD_PARCELAS	DT_PEDIDO	MEIO_PAGTO	STATUS_PAGAMENTO
2777634	2039391	930282422	TV	1	 783,40 	6	04/05/2018	CC	APROVADO
2777634	2044054	882720691	MODA	1	 61,99 	6	17/05/2018	CC	APROVADO
2777634	2044054	882720894	MODA	1	 71,18 	6	17/05/2018	CC	APROVADO
2777634	2044054	921601953	TELEFONIA	1	 446,38 	6	17/05/2018	CC	APROVADO
2777634	2044054	921658870	TELEFONIA	1	 446,39 	6	17/05/2018	CC	APROVADO
2777634	2045114	906798136	TELEFONIA	1	 827,98 	6	20/05/2018	CC	APROVADO
2777634	2045114	925603167	TELEFONIA	1	 629,98 	6	20/05/2018	CC	APROVADO
2777634	2047700	880375572	TELEFONIA	1	 314,98 	6	01/06/2018	CC	APROVADO
2777634	2048060	927107600	TELEFONIA	1	 737,98 	6	02/06/2018	CC	APROVADO
2777634	2048416	927317817	TELEFONIA	1	 737,98 	6	03/06/2018	CC	APROVADO
2777634	2049373	925934610	TELEFONIA	1	 602,98 	6	06/06/2018	CC	APROVADO
2777634	2050186	927317817	TELEFONIA	1	 737,98 	6	08/06/2018	CC	APROVADO
2777634	2050507	925934610	TELEFONIA	1	 592,55 	6	09/06/2018	CC	APROVADO
2777634	2050507	925935730	TELEFONIA	2	 600,11 	6	09/06/2018	CC	APROVADO
2777634	2053081	906798136	TELEFONIA	1	 825,42 	6	15/06/2018	CC	APROVADO
2777634	2053081	925935730	TELEFONIA	1	 598,36 	6	15/06/2018	CC	APROVADO
2777634	2053081	927317817	TELEFONIA	1	 737,98 	6	15/06/2018	CC	APROVADO
2777634	2055950	906798136	TELEFONIA	1	 827,98 	6	23/06/2018	CC	APROVADO
2777634	2056639	921601953	TELEFONIA	1	 482,66 	6	28/06/2018	CC	APROVADO
2777634	2056639	925934610	TELEFONIA	1	 599,11 	6	28/06/2018	CC	APROVADO
2777634	2059318	925935730	TELEFONIA	1	 597,07 	6	06/07/2018	CC	APROVADO
2777634	2059318	926729509	TELEFONIA	1	 736,70 	6	06/07/2018	CC	APROVADO
2777634	2062076	918103283	TELEFONIA	1	 584,47 	6	14/07/2018	CC	APROVADO
2777634	2062076	925242800	TELEFONIA	1	 646,22 	6	14/07/2018	CC	APROVADO
2777634	2062076	934171363	TELEFONIA	1	 903,28 	6	14/07/2018	CC	APROVADO
2777634	2063321	927317817	TELEFONIA	1	 737,98 	6	19/07/2018	CC	APROVADO
2777634	2063947	926692710	TV	1	 1.516,48 	6	21/07/2018	CC	APROVADO
2777634	2064637	906798136	TELEFONIA	1	 818,08 	6	25/07/2018	CC	APROVADO
2777634	2064637	922446090	TELEFONIA	1	 644,73 	6	25/07/2018	CC	APROVADO
